time,magnetisation
0,0.04375
100,0.125
200,0.005
300,-0.02875
400,-0.0025
500,-0.47
600,-0.60125
700,-0.72625
800,-0.885
900,-0.86125
1000,-0.91875
1100,-0.86
1200,-0.9075
1300,-0.86875
1400,-0.90625
1500,-0.8325
1600,-0.85375
1700,-0.92375
1800,-0.855
1900,-0.8725
2000,-0.85125
2100,-0.89875
2200,-0.915
2300,-0.8725
2400,-0.8425
2500,-0.87125
2600,-0.795
2700,-0.88125
2800,-0.885
2900,-0.91375
3000,-0.92
3100,-0.89125
3200,-0.91
3300,-0.82625
3400,-0.90875
3500,-0.86
3600,-0.89625
3700,-0.825
3800,-0.88375
3900,-0.83375
4000,-0.83375
4100,-0.86125
4200,-0.85125
4300,-0.86875
4400,-0.8525
4500,-0.8725
4600,-0.89
4700,-0.81875
4800,-0.83
4900,-0.875
5000,-0.90875
5100,-0.89125
5200,-0.9025
5300,-0.9075
5400,-0.91
5500,-0.82625
5600,-0.8625
5700,-0.86125
5800,-0.84875
5900,-0.84875
6000,-0.88
6100,-0.84875
6200,-0.89625
6300,-0.86375
6400,-0.90375
6500,-0.885
6600,-0.91125
6700,-0.8825
6800,-0.8325
6900,-0.85625
7000,-0.7975
7100,-0.8325
7200,-0.8575
7300,-0.89125
7400,-0.87375
7500,-0.92125
7600,-0.8875
7700,-0.84125
7800,-0.8
7900,-0.8625
8000,-0.82125
8100,-0.855
8200,-0.8675
8300,-0.87
8400,-0.85875
8500,-0.84125
8600,-0.89
8700,-0.8425
8800,-0.87125
8900,-0.86875
9000,-0.88875
9100,-0.855
9200,-0.85
9300,-0.85125
9400,-0.8025
9500,-0.8725
9600,-0.895
9700,-0.8675
9800,-0.86125
9900,-0.7975
